sku,nombre,descripcion_corta,descripcion,slug,meta_descripcion,precio,precio_regular,marca,categoria,imagen
DWAMF30,Set De Puntas DEWALT DWAMF30 de 30 piezas maxfit,<h2>Set De Puntas 30 piezas</h2> <p><strong>Incluye</strong></p> <ul> <li>15 Puntas de 1”</li> <li>11 Puntas de 2”</li> <li>2 Dados magnéticos: cabeza 1/4” – 5/16”</li> <li>1 funda de bloqueo de tornillo magnético</li> <li>1 soporte de punta.</li> </ul>,"<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso</em></p> <h2 style=""font-weight: 400;""><strong>Set de Puntas</strong></h2> <p><strong>DWAMF30 - Set De Puntas DEWALT de 30 piezas maxfit </strong></p> <p><strong>Características</strong></p> <ul> <li>Clasificado por impacto con vástago hexagonal para conductores de impacto y taladros</li> <li>Zona de torsión que proporciona una vida más larga 10X</li> <li>Sistema de bloqueo de tornillo magnético</li> <li>Las puntas de conducción de tornillo DEWALT MAXFIT están diseñadas para su uso con controladores de impacto.</li> <li>Su geometría de punta reduce el desgaste y crea un ajuste ideal con cada sujetador.</li> <li>Cada broca cuenta con una zona de torsión única para ofrecer una larga vida útil tanto en aplicaciones de fijación de metal como de madera.</li> <li>El acero modificado S2 mejora la durabilidad general del producto.</li> <li>La fabricación CNC garantiza que el producto ofrece consistentemente el más alto nivel de calidad.</li> <li>La geometría de punta optimizada MAXFIT reduce el desgaste y crea un ajuste ideal con el sujetador Zona de torsión ofrece una larga vida útil con los conductores de impacto S2 de acero modificado para una mayor durabilidad mecanizado CNC para una calidad constante y precisión geométrica.</li> <li>Compatible con manguito magnético para sujetar sujetadores.</li> </ul> <p> </p>",set-de-puntas-dewalt-dwamf30-de-30-piezas-maxfit,"Venta de Set De Puntas DEWALT DWAMF30 de 30 piezas, contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",129000,129000,DEWALT,Herramientas eléctricas,
DCK276D2-B3,Taladro PERCUTOR + Llave De Impacto Inalámbricos DEWALT DCK276D2-B3,<h2>Taladro/ Llave de impacto DEWALT</h2> <p><strong>Especificaciones taladro DCD7781</strong><br /> • <strong>Voltaje:</strong> 20 V<br /> • <strong>Velocidad:</strong> 0-500 / 0-1750 RPM<br /> • <strong>Par de torsión:</strong> 65 Nm<br /> • <strong>Mandril:</strong> 1/2” (13 mm)<br /> • I<strong>mpactos por minuto:</strong> 0-8500 / 0-29750 IPM</p> <p><strong>Atornillador de impacto DCF7871</strong><br /> • <strong>Velocidad:</strong> 20V MÁX<br /> • <strong>Velocidad sin carga:</strong> 0 – 2800 rpm<br /> • <strong>Toque máximo:</strong> 1500 in-lbs (169.5 Nm)<br /> •<strong> Impactos por minuto:</strong> 0 – 3200 ipm</p> <p><strong>Incluye:</strong><br /> • 2 baterías de Ion de Litio 2.0Ah 20V MÁX<br /> • 1 cargador<br /> • 1 Bolsa para herramientas.</p>,"<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso</em></p> <h2 style=""font-weight: 400;""><strong>Taladro Inalámbrico </strong></h2> <p><strong>DEWALT DCK276D2-B3  DEWALT DCK276D2-B3 20v (2 Baterías 2amp + 1 cargador +maleta lona)</strong></p> <p>• Combo de taladro percutor de 1/2'' de 20V DCD7781 + Atornillador de impacto 20V DCF7871 + 2 baterías de 2.0Ah y cargador.<br /> • Combinación perfecta de Atornillador / taladro que proporciona ergonomía, potencia y eficacia en sus aplicaciones.<br /> • Máximo voltaje inicial de la batería es de 20 voltios.<br /> • Sin carbones (brushless)</p> <p><strong>Características taladro percutor DCD7781</strong><br /> • Batería de 2.0 Ah<br /> • Motor sin escobillas (sin escobillas de carbón)<br /> • Mandril de ajuste rápido<br /> • Interruptor de velocidad variable<br /> • Diseño compacto y ligero<br /> • Luz LED</p> <p><strong>Especificaciones taladro DCD7781</strong><br /> • <strong>Voltaje</strong>: 20 V<br /> • Velocidad: 0-500 / 0-1750 RPM<br /> • Par de torsión: 65 Nm<br /> • Mandril: 1/2'' (13 mm)<br /> • Capacidad: Madera (25 mm) Metal (13 mm) Hormigón (6,5 mm)<br /> • Impactos por minuto: 0-8500 / 0-29750 IPM</p> <p><strong>Atornillador de impacto DCF7871</strong><br /> • <strong>Velocidad:</strong> 20V MÁX<br /> • <strong>Velocidad sin carga:</strong> 0 - 2800 rpm<br /> • <strong>Tamaño del encastre:</strong> Vástago hexagonal de liberación rápida de 1/4'' (6.35 mm)<br /> • <strong>Toque máximo:</strong> 1500 in-lbs (169.5 Nm)<br /> • <strong>Impactos por minuto:</strong> 0 - 3200 ipm</p> <p><strong>Incluye:</strong><br /> • 2 baterías de Ion de Litio 2.0Ah 20V MÁX<br /> • 1 cargador<br /> • 1 Bolsa para herramientas.</p>",taladro-percutor-llave-de-impacto-inalambricos-dewalt-dck276d2-b3,"Venta de Taladro PERCUTOR + Llave De Impacto DEWALT DCK276D2-B3, contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",1029000,1029000,DEWALT,Herramientas eléctricas,
DCD7781D2-B3,Taladro PERCUTOR inalámbrico DEWALT DCD7781D2-B3 20v (2 batería de 2amp +maleta plástica),"<h2>Taladro DEWALT</h2> <ul> <li><strong> Voltaje:</strong> 20 V</li> <li><strong>Velocidad:</strong> 0-500 / 0-1750 RPM</li> <li><strong>Par de torsión:</strong> 65 Nm</li> <li><strong>Mandril</strong>: 13 mm</li> <li><strong>Capacidad:</strong></li> </ul> <p>Madera (25 mm)</p> <p>Metal (13 mm)</p> <p>Hormigón (6,5 mm)</p> <ul> <li><strong>Impactos por minuto:</strong> 0-8500 / 0-29750 IPM</li> <li><strong>Peso del producto</strong> 1.7 Kg.</li> </ul>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso</em></p> <h2 style=""font-weight: 400;""><strong>Taladro Inalámbrico </strong></h2> <p><strong>DEWALT DCD7781D2-B3 PERCUTOR inalámbrico 20v (2 batería de 2amp +maleta plástica)</strong></p> <p><strong>Características</strong></p> <ul> <li>  Motor sin escobillas (sin escobillas de carbón)</li> <li>  Mandril de ajuste rápido</li> <li>  Interruptor de velocidad variable</li> <li>  Diseño compacto y ligero</li> <li>  Luz LED.</li> </ul>",taladro-percutor-inalambrico-dewalt-dcd7781d2-b3-20v,"Venta de Taladro PERCUTOR inalámbrico DEWALT DCD7781D2-B3, contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",819000,819000,DEWALT,Herramientas eléctricas,
DCD7781D1-B3,Taladro PERCUTOR inalámbrico DEWALT DCD7781D1-B3 20v (1 batería de 2amp +maleta de lona),"<h2>Taladro DEWALT</h2> <ul> <li><strong>Voltaje:</strong> 20V</li> <li><strong>Velocidad:</strong> 0-500 / 0-1750 RPM</li> <li><strong>Par de torsión:</strong> 65 Nm</li> <li><strong>Mandril:</strong> 13 mm</li> <li><strong>Capacidad:</strong></li> <li>Madera (25 mm)</li> <li>Metal (13 mm)</li> <li>Hormigón (6,5 mm)</li> <li><strong>Impactos por minuto:</strong> 0-8500 / 0-29750 IPM</li> <li><strong>Peso del producto</strong> 1.7 Kg.</li> </ul>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso</em></p> <h2 style=""font-weight: 400;""><strong>Taladro Inalámbrico </strong></h2> <p><strong>DEWALT DCD7781D1-B3 PERCUTOR inalámbrico 20v (1 batería de 2amp +maleta de lona)</strong></p> <p><strong>Características</strong></p> <ul> <li>Batería de 2.0 Ah</li> <li>Motor sin escobillas (sin escobillas de carbón)</li> <li>Mandril de ajuste rápido</li> <li>Interruptor de velocidad variable</li> <li>Diseño compacto y ligero</li> <li>Luz LED.</li> </ul> <p> </p>",taladro-percutor-inalambrico-dewalt-dcd7781d1-b3-20v,"Venta de Taladro PERCUTOR inalámbrico DEWALT DCD7781D1-B3 , contamos con amplio catálogo . Asesoría especializada, Envíos a todo Colombia.",459000,459000,DEWALT,Herramientas eléctricas,
LD008-B3,Taladro/Atornillador Inalámbrico BLACK&DECKER LD008-B3,"<h2>Taladro/Atornillador</h2> <p>• <strong>Voltaje:</strong> 8V Max<br /> • <strong>Velocidad:</strong> 400/min (rpm)<br /> • <strong>Mandril:</strong> 3/8(10mm)<br /> • <strong>Batería:</strong> 1,5 Ah<br /> • <strong>Cargador USB:</strong> 600mA<br /> • <strong>Peso:</strong> 1kg</p>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso</em></p> <h2 style=""font-weight: 400;""><strong>Atornillador Inalámbrico </strong></h2> <p style=""font-weight: 400;""><strong>LD008-B3 - BLACK&DECKER Inalámbrico, 8v, (1 Baterías 1.5Amp)</strong></p> <p><strong>Características</strong><br /> • Batería de 8V MAX* Ion de Litio Integrada<br /> • Mango Recubierto con Goma<br /> • Micro cargador USB para Recargar Otros artículos Móviles y del Hogar<br /> • Punta Doble Phillips/Estándar</p> <p><strong>Especificaciones</strong><br /> • <strong>Voltaje:</strong> 8V Max<br /> • <strong>Velocidad:</strong> 400/min (rpm)<br /> • <strong>Mandril:</strong> 3/8(10mm)<br /> • <strong>Batería:</strong> 1,5 Ah<br /> •<strong> Cargador USB:</strong> 600mA<br /> • <strong>Peso:</strong> 1kg</p>",taladro-atornillador-inalambrico-blackdecker-ld008-b3,"Venta de Taladro/Atornillador Inalámbrico BLACK&DECKER LD008-B3, contamos con amplio catálogo . Asesoría especializada, Envíos a todo Colombia.",149000,149000,BLACK+DECKER,Herramientas eléctricas,
CS1004-B3,Sierra Circular BLACK&DECKER CS1004-B3 1400W,"<h2>Sierra Black&Decker</h2> <ul> <li><strong>Potencia:</strong> 1400W</li> <li><strong>Velocidad:</strong> 5300/min (rpm)</li> <li><strong>Diámetro de disco:</strong> 7-1/4 pulg (184mm)</li> <li><strong>Ángulo de bisel:</strong> 45°</li> <li><strong>Profundidad máxima:</strong> 62mm (2,4mm)</li> <li><strong>Largo del cable:</strong> 1,8m (6′)</li> <li><strong>Dimensiones (Lx An x Al):</strong> 26 x 29 x 24 cm.</li> </ul>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso.</em></p> <h2>Sierra Circular</h2> <p><strong>CS1004-B3  BLACK&DECKER CS1004-B3 1400W 3.000CPM</strong></p> <ul> <li><strong>Características</strong></li> <li>1400W de potencia para variedad de cortes</li> <li>Guía paralela para mayor precisión</li> <li>Traba de eje para facilitar el cambio de disco</li> <li>Cuchilla y Llave.</li> </ul>",sierra-circular-blackdecker-cs1004-b3-1400w,"Venta de Sierra Circular BLACK&DECKER CS1004-B3 , contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",319000,319000,BLACK+DECKER,Herramientas eléctricas,
G720K-B3,"Pulidora 4-½"" BLACK&DECKER G720K-B3 820W 11.000rpm","<h2><span data-sheets-value=""{""1"":2,""2"":""pulidora dewalt""}"" data-sheets-userformat=""{""2"":513,""3"":{""1"":0},""12"":0}"">Pulidora </span></h2> <p>• <strong>Voltaje:</strong> 110 V<br /> • <strong>Potencia:</strong> 820 W y 6 amperes<br /> • <strong>Velocidad:</strong> 11 000. rpm<br /> • <strong>Tamaño eje:</strong> 5/8 pulg – 11<br /> • <strong>Diámetro disco:</strong> 115mm<br /> • <strong>Cable</strong> 2m<br /> • <strong>Dimensiones ( Lx An x Al)</strong> 14 x 35 x 26<br /> • <strong>Peso con empaque:</strong> 3.12 kg</p>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso.</em></p> <h2><span data-sheets-value=""{""1"":2,""2"":""Atornillador Inalambrico""}"" data-sheets-userformat=""{""2"":513,""3"":{""1"":0},""12"":0}"">Pulidora 4-½"" BLACK&DECKER </span></h2> <p><strong>BLACK&DECKER G720K-B3 820W 11.000rpm Eje 5/8” (incluye guantes y gafas)</strong></p> <p><strong>Características</strong></p> <ul> <li>Mini esmeriladora angular</li> <li>Mango de goma lateral de 3 posiciones</li> <li>Seguro de eje para cambiar los accesorios de manera sencilla</li> <li>Interruptor con bloqueo para uso continuo</li> <li>Interruptor sellado contra polvo.</li> </ul> <p><strong>Incluye</strong></p> <ul> <li>Guantes</li> <li>Gafas</li> <li>Manual de instrucciones</li> </ul>",pulidora-4-blackdecker-g720k-b3-820w,"Venta de Pulidora 4-½"" BLACK&DECKER G720K-B3 11.000rpm Eje 5/8”. Contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",179000,179000,BLACK+DECKER,Herramientas eléctricas,
G720-B3,"Pulidora 4-½"" BLACK&DECKER G720-B3 820W 11.000rpm","<h2><span data-sheets-value=""{""1"":2,""2"":""pulidora dewalt""}"" data-sheets-userformat=""{""2"":513,""3"":{""1"":0},""12"":0}"">Pulidora </span></h2> <p>• <strong>Potencia:</strong> 820W<br /> • <strong>Velocidad:</strong> 11000/min (rpm)<br /> • <strong>Eje. 5/8”</strong> – 11/M14<br /> • <strong>Cable:</strong> 2 metros<br /> • <strong>Alimentación</strong> Eléctrica<br /> •<strong> Dimensiones (L X An x Al)</strong> 13 x 31.5 x 11.5<br /> •<strong> Peso</strong> 2.3 kg.</p>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso.</em></p> <h2><span data-sheets-value=""{""1"":2,""2"":""Atornillador Inalambrico""}"" data-sheets-userformat=""{""2"":513,""3"":{""1"":0},""12"":0}"">Pulidora 4-½"" BLACK&DECKER </span></h2> <p><strong>LACK&DECKER G720-B3 820W 11.000rpm Eje 5/8”</strong></p> <p><strong>Características</strong></p> <ul> <li>Potente motor de 820W</li> <li>Traba de eje</li> <li>Empuñadura lateral de 3 posiciones</li> <li>Interruptor de sellado contra polvo con bloqueo para uso continuo</li> <li>Guarda ajustable sin llave</li> <li>Caja de engranajes metálica.</li> </ul>",pulidora-4-blackdecker-g720-b3-820w,"Venta de Pulidora 4-½"" BLACK&DECKER G720-B3 11.000rpm Eje 5/8”. Contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",159000,159000,BLACK+DECKER,Herramientas eléctricas,
G650-B3,"Pulidora 4-½"" BLACK&DECKER G650-B3 650W 11.000rpm","<h2><span data-sheets-value=""{""1"":2,""2"":""pulidora dewalt""}"" data-sheets-userformat=""{""2"":513,""3"":{""1"":0},""12"":0}"">Pulidora </span></h2> <ul> <li><strong>Potencia</strong> 650w</li> <li><strong>Velocidad</strong> 12000/min (rpm)</li> <li><strong>Eje</strong> 5/8″</li> <li><strong>Cable</strong> 2 m</li> <li><strong>Dimensiones (Lx An x Al)</strong> 31 X 14 X 12</li> <li><strong>Peso</strong> 2.1Kg</li> </ul>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso.</em></p> <h2><span data-sheets-value=""{""1"":2,""2"":""Atornillador Inalambrico""}"" data-sheets-userformat=""{""2"":513,""3"":{""1"":0},""12"":0}"">Pulidora 4-½"" BLACK&DECKER </span></h2> <p><strong>BLACK&DECKER G650-B3 650W 11.000rpm Eje 5/8”</strong></p> <p><strong>Características</strong></p> <ul> <li>mini pulidora de disco de 4.1/2"" (114mm) edición especial con motor de 650w.</li> <li>velocidad en vacío de 12.000rpm.</li> <li>eje de 5/8""</li> <li>mango lateral de dos posiciones.</li> <li>seguro de eje para cambiar los accesorios de manera sencilla.</li> <li>mando de goma para un mejor control y comodidad.</li> <li>traba de eje.</li> <li>interruptor de sellado contra polvo con bloqueo para uso continuo.</li> <li>guarda ajustable sin llave.</li> <li>caja de engranajes metálica Pulidora 4-½"" BLACK&DECKER.</li> </ul>",pulidora-4-blackdecker-g650-b3-650w,"Venta de Pulidora 4-½"" BLACK&DECKER G650-B3 650W 11.000rpm Eje 5/8”. Contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",139000,139000,BLACK+DECKER,Herramientas eléctricas,
DWE4314-B3,"Pulidora 4-½"" DEWALT DWE4314-B3 1,500W 11.000rpm","<h2><span data-sheets-value=""{""1"":2,""2"":""pulidora dewalt""}"" data-sheets-userformat=""{""2"":513,""3"":{""1"":0},""12"":0}"">Pulidora </span></h2> <ul> <li><strong>Potencia:</strong> 1500 W</li> <li><strong>Voltaje:</strong> 120 V</li> <li><strong>Frecuencia:</strong> 50 – 60 Hz</li> <li><strong>Velocidad sin carga:</strong> 11000 RPM</li> <li><strong>Diámetro máximo del disco:</strong> 4 -1/2 pulg</li> <li><strong>Peso:</strong> 2,5 kg</li> </ul>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso.</em></p> <h2><span data-sheets-value=""{""1"":2,""2"":""Atornillador Inalambrico""}"" data-sheets-userformat=""{""2"":513,""3"":{""1"":0},""12"":0}"">Pulidora <strong>DEWALT</strong></span></h2> <p><strong>DEWALT DWE4314-B3 1,500W 11.000rpm Eje 5/8”</strong></p> <p><strong>Características</strong></p> <ul> <li>Protección contra sobrecargas</li> <li>Arranque progresivo</li> <li>Freno automático por atascamiento de disco</li> <li>Protección contra Re arranque en caso de pérdida de corriente</li> <li>Sistema extractor de polvo para una mayor vida útil</li> </ul> <p> </p>",pulidora-4-dewalt-dwe4314-b3-1500w,"Venta de Pulidora 4-½"" DEWALT DWE4314-B3 1,500W 11.000rpm Eje 5/8”. Contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",809000,809000,DEWALT,Herramientas eléctricas,
DWE4577-B3,"Pulidora 7"" DEWALT DWE4577-B3 2.700W 8500rpm","<h2><strong>Pulidora STANLEY </strong></h2> <ul> <li><strong>Potencia</strong>:  2700W</li> <li><strong>RPM:</strong>  8,5</li> <li><strong>Protección de Abrasión:</strong>  Sistema de extracción de polvo</li> <li><strong>Mango Trasero Anti-vibración:</strong>  Si</li> <li><strong>Cable Ultra resistente:</strong>  Si</li> <li><strong>Peso: </strong> 5.6Kg</li> </ul>","<p><em>Los productos originales pueden variar ligeramente respecto a las fotos, la información en esta ficha está sujeta a cambios sin previo aviso</em></p> <h2><strong>Pulidora 7"" DEWALT</strong></h2> <p><strong>DEWALT DWE4577-B3 2.700W 8500rpm Eje 5/8""</strong></p> <ul> <li>Potente Motor de 2700W - Entrega mayor velocidad y potencia hasta en las aplicaciones más duras</li> <li>Guarda sin llave - Permite cambios y movimientos en forma más fácil</li> <li>Caja de engranajes de bajo perfil - Permite al usuario trabajar en lugares estrechos</li> <li>Cable ultra resistente - Previene roturas del cable por tirones</li> <li>Gatillo de seguridad de dos pasos - Disminuye el riesgo de encendido accidentales</li> <li>Mango antivibración de tres posiciones - Provee al usuario diferentes opciones a la hora de trabajar reduciendo la vibración</li> <li>Indicador LED de sobre carga - Advierte al usuario una sobre carga de la herramienta</li> <li>Tapa removible - Facilita el acceso a los carbones.</li> </ul> <p> </p> <p> </p>",pulidora-7-dewalt-dwe4577-b3-2-700w,"Venta de Pulidora 7"" DEWALT DWE4577-B3 2.700W 8500rpm Eje 5/8"", contamos con amplio catálogo. Asesoría especializada, Envíos a todo Colombia.",1079000,1079000,DEWALT,Herramientas eléctricas,
